timestamp,x,y,z
2024-08-22 20:11:57,0.12,-0.37,-0.31
2024-08-22 20:09:56,0.12,-0.43,-0.31
2024-08-22 20:11:59,-0.06,-0.37,-0.18
2024-08-22 20:06:20,-0.06,-0.31,-0.12
2024-08-22 19:59:20,0.0,-0.31,-0.18
2024-08-22 20:06:01,-0.12,-0.31,-0.06
2024-08-22 20:07:58,0.0,-0.37,-0.24
2024-08-22 20:09:18,0.0,-0.37,-0.18
2024-08-22 20:03:36,0.0,-0.31,-0.12
2024-08-22 19:58:18,0.0,-0.37,-0.18
2024-08-22 20:10:27,-0.12,-0.24,-0.06
2024-08-22 19:57:24,-0.06,-0.31,-0.12
2024-08-22 20:01:30,0.06,-0.43,-0.31
2024-08-22 20:03:59,0.18,-0.37,-0.37
2024-08-22 20:04:34,-0.06,-0.31,-0.12
2024-08-22 19:55:31,-0.18,-0.31,-0.06
2024-08-22 20:00:05,0.0,-0.12,-0.18
2024-08-22 19:59:49,0.0,-0.24,-0.12
2024-08-22 19:55:41,-0.06,-0.31,-0.18
2024-08-22 19:56:15,0.06,-0.37,-0.24
2024-08-22 20:06:02,0.18,-0.37,-0.37
2024-08-22 20:02:26,0.0,-0.31,-0.12
2024-08-22 20:02:32,0.0,-0.24,-0.18
2024-08-22 20:05:04,0.0,-0.24,-0.12
2024-08-22 20:11:23,0.12,-0.31,-0.31
2024-08-22 20:12:28,0.06,-0.31,-0.31
2024-08-22 20:08:53,0.0,-0.37,-0.18
2024-08-22 20:11:15,0.06,-0.31,-0.18
2024-08-22 19:57:44,0.31,-0.37,-0.37
2024-08-22 19:59:11,0.31,-0.49,-0.43
2024-08-22 20:00:48,0.67,-0.55,-0.79
2024-08-22 20:01:54,0.18,-0.43,-0.31
2024-08-22 20:02:15,0.0,-0.31,-0.18
2024-08-22 20:02:25,-0.06,-0.31,-0.12
2024-08-22 20:08:04,0.18,-0.43,-0.37
2024-08-22 19:56:47,-0.06,-0.31,-0.12
2024-08-22 20:08:28,0.06,-0.43,-0.31
2024-08-22 19:57:41,-0.06,-0.43,-0.18
2024-08-22 20:01:44,0.0,-0.24,-0.12
2024-08-22 19:57:22,-0.12,-0.31,-0.06
2024-08-22 20:09:38,0.0,-0.37,-0.24
2024-08-22 20:08:50,0.12,-0.37,-0.31
2024-08-22 19:56:52,-0.24,-0.31,0.0
2024-08-22 19:56:40,-0.12,-0.37,-0.12
2024-08-22 20:00:31,0.24,-0.37,-0.43
2024-08-22 20:01:43,-0.12,-0.31,-0.12
2024-08-22 20:00:44,-0.18,-0.24,0.0
2024-08-22 20:09:53,0.12,-0.37,-0.31
2024-08-22 20:00:54,-0.12,-0.31,-0.06
2024-08-22 19:53:49,-0.12,-0.37,-0.06
2024-08-22 20:10:20,0.06,-0.31,-0.24
2024-08-22 20:11:02,0.18,-0.31,-0.31
2024-08-22 20:07:47,-0.12,-0.31,-0.06
2024-08-22 20:05:29,0.06,-0.37,-0.24
2024-08-22 20:12:23,0.0,-0.31,-0.18
2024-08-22 20:03:39,-0.18,-0.18,0.06
2024-08-22 20:06:48,0.18,-0.43,-0.31
2024-08-22 20:07:15,-0.06,-0.31,-0.18
2024-08-22 20:08:38,-0.06,-0.31,-0.12
2024-08-22 20:07:23,0.0,-0.31,-0.18
